Timestamp,Price,Market Cap,24h Volume,Coin
2014-03-26,584.442,7343002343.0,17583200.0,BTC
2014-03-27,567.64,7133333206.0,22316700.0,BTC
2014-03-28,503.661,6331497248.0,79571600.0,BTC
2014-03-29,502.302,6317113200.0,26810900.0,BTC
2014-03-30,469.938,5912148997.0,17867800.0,BTC
2014-03-31,457.399,5756309240.0,56838500.0,BTC
2014-04-01,478.7163,6023351178.0,35685800.0,BTC
2014-04-02,437.515,5506313797.0,49647600.0,BTC
2014-04-03,447.0822,5604036051.0,40765500.0,BTC
2014-04-04,448.8792,5641613449.0,22925500.0,BTC
2014-04-05,464.8259,5824866676.0,13404500.0,BTC
2014-04-06,460.7028,5808861023.0,10241400.0,BTC
2014-04-07,457.792,5775641210.0,9802770.0,BTC
2014-04-08,450.4638,5718579640.0,10921600.0,BTC
2014-04-09,440.1983,5589580215.0,13204400.0,BTC
2014-04-10,360.8407,4611917257.0,55868300.0,BTC
2014-04-11,420.0563,5318033925.0,62562800.0,BTC
2014-04-12,420.66,5321874506.0,19226500.0,BTC
2014-04-13,414.9495,5234667259.0,22493500.0,BTC
2014-04-14,457.6338,5802302128.0,50730200.0,BTC
2014-04-15,520.1233,6522974948.0,49561000.0,BTC
2014-04-16,529.1625,6674473792.0,56480100.0,BTC
2014-04-17,494.4,6278792387.0,34025500.0,BTC
2014-04-18,478.2312,6074116360.0,19042400.0,BTC
2014-04-19,501.5515,6353700029.0,19588200.0,BTC
2014-04-20,497.3177,6312896984.0,12103100.0,BTC
2014-04-21,492.6733,6284666435.0,15171400.0,BTC
2014-04-22,484.8533,6187034895.0,9770190.335015288,BTC
2014-04-23,487.525,6231920621.0,8412033.043193607,BTC
2014-04-24,494.2733,6350012525.0,9512215.003743047,BTC
2014-04-25,458.8067,5857079867.0,44062361.80745845,BTC
2014-04-26,453.8,5822776642.0,11997979.867558926,BTC
2014-04-27,437.9216,5542720307.0,9760121.834963577,BTC
2014-04-28,436.92,5593864954.0,20781687.97683261,BTC
2014-04-29,443.27,5683724524.0,15011935.551518673,BTC
2014-04-30,444.9968,5690810165.0,13054745.683608102,BTC
2014-05-01,455.0913,5821425472.0,11953625.134976294,BTC
2014-05-02,443.4734,5716625927.0,8165770.147874059,BTC
2014-05-03,434.0333,5570422954.0,9446958.635517636,BTC
2014-05-04,433.9432,5554777406.0,5229830.630972039,BTC
2014-05-05,429.0761,5518951942.0,8567756.392353557,BTC
2014-05-06,426.7634,5463474513.0,10822749.124633348,BTC
2014-05-07,439.3,5590798951.0,16360711.036365218,BTC
2014-05-08,437.3633,5609810850.0,8491458.546028852,BTC
2014-05-09,447.4933,5730133343.0,8820053.293163313,BTC
2014-05-10,452.505,5795543101.0,5529665.186791251,BTC
2014-05-11,436.2833,5598956479.0,11522907.034093864,BTC
2014-05-12,439.19,5633629021.0,5903393.674349334,BTC
2014-05-13,437.305,5625308533.0,5619474.108984868,BTC
2014-05-14,444.2467,5669111766.0,6764834.29138491,BTC
2014-05-15,444.25,5712906334.0,6219944.38500291,BTC
2014-05-16,445.165,5725217915.0,5292980.730698652,BTC
2014-05-17,445.8533,5737967927.0,2642092.2130057854,BTC
2014-05-18,444.2133,5706165793.0,7828552.781743507,BTC
2014-05-19,443.87,5706978471.0,11697296.019628461,BTC
2014-05-20,483.4167,6214911439.0,59415447.482920215,BTC
2014-05-21,488.7717,6294422409.0,20125942.252461053,BTC
2014-05-22,522.6083,6716604600.0,28758404.007310245,BTC
2014-05-23,524.475,6662964359.0,30253343.70043255,BTC
2014-05-24,523.1083,6727963028.0,10236386.684289353,BTC
2014-05-25,569.3767,7325371780.0,43762384.55551313,BTC
2014-05-26,579.6217,7479335238.0,26174591.715237826,BTC
2014-05-27,569.475,7325147499.0,33059214.23635299,BTC
2014-05-28,571.5533,7402205099.0,15739188.285988351,BTC
2014-05-29,565.26,7290260762.0,14362990.94411866,BTC
2014-05-30,621.1467,7897757908.0,42271699.63749006,BTC
2014-05-31,620.5,8007248676.0,18656368.10083591,BTC
2014-06-01,640.1617,8094125581.0,53565199.679242626,BTC
2014-06-02,656.41,8487587033.0,41153743.55147136,BTC
2014-06-03,667.3683,8580309812.0,37419432.11298669,BTC
2014-06-04,641.1833,8249183077.0,43722721.85640881,BTC
2014-06-05,658.1,8478552324.0,24809749.5691626,BTC
2014-06-06,648.63,8409353268.0,14032413.3666774,BTC
2014-06-07,651.7083,8428206589.0,12954147.496912882,BTC
2014-06-08,649.8983,8445489607.0,6819173.803153491,BTC
2014-06-09,643.905,8290260777.375,15165258.001682783,BTC
2014-06-10,649.0567,8359493314.815,13698528.103743391,BTC
2014-06-11,630.0367,8116778557.0175,20706208.81438605,BTC
2014-06-12,567.175,7309311839.375,41032286.05220322,BTC
2014-06-13,594.6833,7666330027.785,37950646.151919045,BTC
2014-06-14,570.0033,7350662806.2225,33752601.59059282,BTC
2014-06-15,583.41,7526353631.25,19377536.876052536,BTC
2014-06-16,592.52,7646618730.0,25803391.330629352,BTC
2014-06-17,607.1583,7838352937.170001,14064824.78230287,BTC
2014-06-18,604.19,7802403926.750001,14955835.77044088,BTC
2014-06-19,593.3883000000002,7665345555.277503,11266428.30113169,BTC
2014-06-20,590.055,7625133251.249999,14899960.97248743,BTC
2014-06-21,591.2567,7643411863.58,8304999.789508111,BTC
2014-06-22,595.0367,7694627830.545,9952321.043074599,BTC
2014-06-23,586.1482999999998,7582634214.4124975,11249420.61918756,BTC
2014-06-24,582.4149999999998,7537047075.374997,11613405.81708644,BTC
2014-06-25,561.4716999999999,7268686297.067499,18237241.345597345,BTC
2014-06-26,579.5867,7505647765.0,12733876.653646294,BTC
2014-06-27,598.2367,7750006889.325,19906418.825948466,BTC
2014-06-28,594.8717000000001,7709210052.5650015,13624207.397432778,BTC
2014-06-29,598.4883,7758488114.8425,8878656.403461741,BTC
2014-06-30,637.7549999999999,8269625590.124999,47015974.05882847,BTC
2014-07-01,643.9350000000001,8351853048.375001,38496541.685756736,BTC
2014-07-02,648.1075000000002,8408206448.562503,25992122.167154185,BTC
2014-07-03,640.2838000000003,8308930858.410004,18539083.74715486,BTC
2014-07-04,627.1288,8140821665.68,22418156.550761543,BTC
2014-07-05,627.5812999999999,8149049043.304998,9292051.769341238,BTC
2014-07-06,631.0025,8195697095.937501,11187211.133814601,BTC
2014-07-07,619.4950000000002,8048556476.875003,18525910.64620546,BTC
2014-07-08,620.0474999999996,8058075305.249995,9269839.610474609,BTC
2014-07-09,620.16,8060033472.0,9329941.299859986,BTC
2014-07-10,615.1275000000002,7994627579.250003,15009203.935868405,BTC
2014-07-11,630.8350000000002,8198773244.500003,15836826.82458833,BTC
2014-07-12,633.6389951679741,8235215928.499609,13267457.870885218,BTC
2014-07-13,627.4623228193354,8154939570.986056,11435029.121800043,BTC
2014-07-14,618.2050265064788,8034625267.996753,2646077079.3567286,BTC
2014-07-15,618.9524999999999,8044339956.749999,10776372.317991683,BTC
2014-07-16,614.1474999999997,7981890813.249996,13679053.322608326,BTC
2014-07-17,622.8950000000001,8095579446.500001,14637445.280315427,BTC
2014-07-18,627.0188000000003,8173252759.880004,14086517.690069783,BTC
2014-07-19,626.1763000000001,8165088481.480001,7640657.031253545,BTC
2014-07-20,620.5138,8093609698.919999,4767570.26288198,BTC
2014-07-21,619.9088000000002,8088074095.3600025,8225443.991691393,BTC
2014-07-22,619.0062999999999,8078589320.669999,7698580.9229142675,BTC
2014-07-23,617.9425000000001,8066930366.250001,9043046.013458895,BTC
2014-07-24,599.8088,7832303310.4,24703385.252356224,BTC
2014-07-25,600.0963000000002,7837677745.410003,20256797.398241412,BTC
2014-07-26,593.7750000000001,7758026640.000001,11443452.28870578,BTC
2014-07-27,590.3788,7715896688.72,9300140.74662901,BTC
2014-07-28,585.2787999999998,7651364384.369997,23117898.15816101,BTC
2014-07-29,581.7138,7607013191.22,11790372.332249207,BTC
2014-07-30,560.7912999999999,7335781094.212499,18397948.917774394,BTC
2014-07-31,583.1821057431899,7630850376.333778,23252091.391060743,BTC
2014-08-01,593.8655273953669,7773046501.525218,22927176.796534866,BTC
2014-08-02,588.2306991611412,7701689838.349342,9260582.608232379,BTC
2014-08-03,585.5731940766995,7669135008.183718,9179432.125804095,BTC
2014-08-04,586.3686859113967,7681459103.873592,11325982.78547038,BTC
2014-08-05,582.4186267649761,7631722475.814864,13046784.254992407,BTC
2014-08-06,583.3249999999999,7645917854.374999,12769922.201948395,BTC
2014-08-07,587.2031590188054,7699128899.554043,11942668.461052554,BTC
2014-08-08,590.9072702245192,7749970439.220903,12277588.527439365,BTC
2014-08-09,588.1078559835756,7716004475.897311,7934876.355063622,BTC
2014-08-10,588.5004825541756,7723612745.649575,8504716.676129557,BTC
2014-08-11,573.4063,7528222642.385,16394404.861505693,BTC
2014-08-12,567.4023482208208,7451879444.947211,15825348.317337945,BTC
2014-08-13,543.6674999999999,7142146355.812499,36644669.931792624,BTC
